word_id,word,normalized_word,char_length,vowel_group_count,syllable_profile,feature_flags
1,a,a,1,1,single_syllable_like,short_vowel_like
2,about,about,5,2,two_syllable_like,final_consonant|vowel_team|contrast_letter|longer_word
3,air,air,3,1,single_syllable_like,final_consonant|vowel_team|contrast_letter
4,all,all,3,1,single_syllable_like,final_cluster|final_consonant|short_vowel_like|contrast_letter
5,always,always,6,2,two_syllable_like,final_consonant|vowel_team|contrast_letter|longer_word
6,am,am,2,1,single_syllable_like,final_consonant|short_vowel_like|contrast_letter
7,and,and,3,1,single_syllable_like,final_cluster|final_consonant|short_vowel_like|contrast_letter
8,are,are,3,1,single_syllable_like,r_controlled|contrast_letter
9,argue,argue,5,2,two_syllable_like,vowel_team|r_controlled|contrast_letter|longer_word
10,arm,arm,3,1,single_syllable_like,final_cluster|final_consonant|r_controlled|contrast_letter
11,art,art,3,1,single_syllable_like,final_cluster|final_consonant|r_controlled|contrast_letter
12,at,at,2,1,single_syllable_like,final_consonant|short_vowel_like
13,away,away,4,2,two_syllable_like,vowel_team|longer_word
14,back,back,4,1,single_syllable_like,final_cluster|final_consonant|digraph|short_vowel_like|contrast_letter
15,backing,backing,7,2,two_syllable_like,final_cluster|final_consonant|digraph|contrast_letter|longer_word
16,bad,bad,3,1,single_syllable_like,final_consonant|short_vowel_like|contrast_letter
17,bag,bag,3,1,single_syllable_like,final_consonant|short_vowel_like|contrast_letter
18,bags,bags,4,1,single_syllable_like,final_cluster|final_consonant|short_vowel_like|contrast_letter
19,bake,bake,4,1,single_syllable_like,cvc_e|contrast_letter
20,baking,baking,6,2,two_syllable_like,final_cluster|final_consonant|digraph|contrast_letter|longer_word
21,ball,ball,4,1,single_syllable_like,final_cluster|final_consonant|short_vowel_like|contrast_letter
22,ballplayer,ballplayer,10,2,two_syllable_like,final_consonant|vowel_team|contrast_letter|longer_word
23,bank,bank,4,1,single_syllable_like,final_cluster|final_consonant|digraph|short_vowel_like|contrast_letter
24,bark,bark,4,1,single_syllable_like,final_cluster|final_consonant|r_controlled|contrast_letter
25,barn,barn,4,1,single_syllable_like,final_cluster|final_consonant|r_controlled|contrast_letter
26,bat,bat,3,1,single_syllable_like,final_consonant|short_vowel_like|contrast_letter
27,bath,bath,4,1,single_syllable_like,final_cluster|final_consonant|digraph|short_vowel_like|contrast_letter
28,be,be,2,1,single_syllable_like,short_vowel_like|contrast_letter
29,beach,beach,5,1,single_syllable_like,final_cluster|final_consonant|vowel_team|digraph|contrast_letter
30,bean,bean,4,1,single_syllable_like,final_consonant|vowel_team|contrast_letter
31,bear,bear,4,1,single_syllable_like,final_consonant|vowel_team|contrast_letter
32,beat,beat,4,1,single_syllable_like,final_consonant|vowel_team|contrast_letter
33,beautiful,beautiful,9,3,multisyllable_like,final_consonant|vowel_team|contrast_letter|longer_word
34,because,because,7,2,two_syllable_like,vowel_team|contrast_letter|longer_word
35,bed,bed,3,1,single_syllable_like,final_consonant|short_vowel_like|contrast_letter
36,bedroom,bedroom,7,2,two_syllable_like,final_consonant|vowel_team|contrast_letter|longer_word
37,beds,beds,4,1,single_syllable_like,final_cluster|final_consonant|short_vowel_like|contrast_letter
38,beg,beg,3,1,single_syllable_like,final_consonant|short_vowel_like|contrast_letter
39,begin,begin,5,2,two_syllable_like,final_consonant|contrast_letter|longer_word
40,bell,bell,4,1,single_syllable_like,final_cluster|final_consonant|short_vowel_like|contrast_letter
41,bench,bench,5,1,single_syllable_like,final_cluster|final_consonant|digraph|short_vowel_like|contrast_letter
42,best,best,4,1,single_syllable_like,final_cluster|final_consonant|short_vowel_like|contrast_letter
43,bet,bet,3,1,single_syllable_like,final_consonant|short_vowel_like|contrast_letter
44,bid,bid,3,1,single_syllable_like,final_consonant|short_vowel_like|contrast_letter
45,big,big,3,1,single_syllable_like,final_consonant|short_vowel_like|contrast_letter
46,bike,bike,4,1,single_syllable_like,cvc_e|contrast_letter
47,bird,bird,4,1,single_syllable_like,final_cluster|final_consonant|r_controlled|contrast_letter
48,birdhouse,birdhouse,9,2,two_syllable_like,vowel_team|r_controlled|contrast_letter|longer_word
49,birth,birth,5,1,single_syllable_like,final_cluster|final_consonant|r_controlled|digraph|contrast_letter
50,birthday,birthday,8,2,two_syllable_like,vowel_team|r_controlled|digraph|contrast_letter|longer_word
51,bit,bit,3,1,single_syllable_like,final_consonant|short_vowel_like|contrast_letter
52,bite,bite,4,1,single_syllable_like,cvc_e|contrast_letter
53,black,black,5,1,single_syllable_like,onset_cluster|final_cluster|final_consonant|digraph|short_vowel_like|contrast_letter
54,blind,blind,5,1,single_syllable_like,onset_cluster|final_cluster|final_consonant|short_vowel_like|contrast_letter
55,blink,blink,5,1,single_syllable_like,onset_cluster|final_cluster|final_consonant|digraph|short_vowel_like|contrast_letter
56,block,block,5,1,single_syllable_like,onset_cluster|final_cluster|final_consonant|digraph|short_vowel_like|contrast_letter
57,blow,blow,4,1,single_syllable_like,onset_cluster|final_consonant|vowel_team|contrast_letter
58,blue,blue,4,1,single_syllable_like,onset_cluster|vowel_team|contrast_letter
59,boat,boat,4,1,single_syllable_like,final_consonant|vowel_team|contrast_letter
60,bob's,bobs,4,1,single_syllable_like,final_cluster|final_consonant|short_vowel_like|contrast_letter
61,boil,boil,4,1,single_syllable_like,final_consonant|vowel_team|contrast_letter
62,bone,bone,4,1,single_syllable_like,cvc_e|contrast_letter
63,book,book,4,1,single_syllable_like,final_consonant|vowel_team|contrast_letter
64,bookshelf,bookshelf,9,2,two_syllable_like,final_cluster|final_consonant|vowel_team|digraph|contrast_letter|longer_word
65,bored,bored,5,2,two_syllable_like,final_consonant|r_controlled|contrast_letter|longer_word
66,born,born,4,1,single_syllable_like,final_cluster|final_consonant|r_controlled|contrast_letter
67,box,box,3,1,single_syllable_like,final_consonant|short_vowel_like|contrast_letter
68,boy,boy,3,1,single_syllable_like,vowel_team|contrast_letter
69,boyfriend,boyfriend,9,2,two_syllable_like,final_cluster|final_consonant|vowel_team|contrast_letter|longer_word
70,brain,brain,5,1,single_syllable_like,onset_cluster|final_consonant|vowel_team|contrast_letter
71,breeze,breeze,6,1,single_syllable_like,onset_cluster|vowel_team|contrast_letter
72,brick,brick,5,1,single_syllable_like,onset_cluster|final_cluster|final_consonant|digraph|short_vowel_like|contrast_letter
73,bricks,bricks,6,1,single_syllable_like,onset_cluster|final_cluster|final_consonant|digraph|short_vowel_like|contrast_letter
74,brief,brief,5,1,single_syllable_like,onset_cluster|final_consonant|vowel_team|contrast_letter
75,bright,bright,6,1,single_syllable_like,onset_cluster|final_cluster|final_consonant|short_vowel_like|contrast_letter
76,brighter,brighter,8,2,two_syllable_like,onset_cluster|final_consonant|r_controlled|contrast_letter|longer_word
77,bring,bring,5,1,single_syllable_like,onset_cluster|final_cluster|final_consonant|digraph|short_vowel_like|contrast_letter
78,bringing,bringing,8,2,two_syllable_like,onset_cluster|final_cluster|final_consonant|digraph|contrast_letter|longer_word
79,broil,broil,5,1,single_syllable_like,onset_cluster|final_consonant|vowel_team|contrast_letter
80,broke,broke,5,1,single_syllable_like,onset_cluster|cvc_e|contrast_letter
81,brown,brown,5,1,single_syllable_like,onset_cluster|final_cluster|final_consonant|vowel_team|contrast_letter
82,bug,bug,3,1,single_syllable_like,final_consonant|short_vowel_like|contrast_letter
83,bugs,bugs,4,1,single_syllable_like,final_cluster|final_consonant|short_vowel_like|contrast_letter
84,bun,bun,3,1,single_syllable_like,final_consonant|short_vowel_like|contrast_letter
85,bunch,bunch,5,1,single_syllable_like,final_cluster|final_consonant|digraph|short_vowel_like|contrast_letter
86,burn,burn,4,1,single_syllable_like,final_cluster|final_consonant|r_controlled|contrast_letter
87,burst,burst,5,1,single_syllable_like,final_cluster|final_consonant|r_controlled|contrast_letter
88,bus,bus,3,1,single_syllable_like,final_consonant|short_vowel_like|contrast_letter
89,but,but,3,1,single_syllable_like,final_consonant|short_vowel_like|contrast_letter
90,buzz,buzz,4,1,single_syllable_like,final_cluster|final_consonant|short_vowel_like|contrast_letter
91,by,by,2,1,single_syllable_like,contrast_letter
92,cab,cab,3,1,single_syllable_like,final_consonant|short_vowel_like|contrast_letter
93,cake,cake,4,1,single_syllable_like,cvc_e
94,call,call,4,1,single_syllable_like,final_cluster|final_consonant|short_vowel_like|contrast_letter
95,came,came,4,1,single_syllable_like,cvc_e|contrast_letter
96,can,can,3,1,single_syllable_like,final_consonant|short_vowel_like|contrast_letter
97,can't,cant,4,1,single_syllable_like,final_cluster|final_consonant|short_vowel_like|contrast_letter
98,cap,cap,3,1,single_syllable_like,final_consonant|short_vowel_like|contrast_letter
99,caps,caps,4,1,single_syllable_like,final_cluster|final_consonant|short_vowel_like|contrast_letter
100,car,car,3,1,single_syllable_like,final_consonant|r_controlled|contrast_letter
101,card,card,4,1,single_syllable_like,final_cluster|final_consonant|r_controlled|contrast_letter
102,care,care,4,1,single_syllable_like,cvc_e|r_controlled|contrast_letter
103,careful,careful,7,3,multisyllable_like,final_consonant|r_controlled|contrast_letter|longer_word
104,careless,careless,8,3,multisyllable_like,final_cluster|final_consonant|r_controlled|contrast_letter|longer_word
105,cart,cart,4,1,single_syllable_like,final_cluster|final_consonant|r_controlled|contrast_letter
106,cat,cat,3,1,single_syllable_like,final_consonant|short_vowel_like
107,catch,catch,5,1,single_syllable_like,final_cluster|final_consonant|digraph|short_vowel_like
108,cats,cats,4,1,single_syllable_like,final_cluster|final_consonant|short_vowel_like
109,cause,cause,5,1,single_syllable_like,vowel_team
110,chain,chain,5,1,single_syllable_like,onset_cluster|final_consonant|vowel_team|digraph|contrast_letter
111,chair,chair,5,1,single_syllable_like,onset_cluster|final_consonant|vowel_team|digraph|contrast_letter
112,chairs,chairs,6,1,single_syllable_like,onset_cluster|final_cluster|final_consonant|vowel_team|digraph|contrast_letter
113,chalk,chalk,5,1,single_syllable_like,onset_cluster|final_cluster|final_consonant|digraph|short_vowel_like|contrast_letter
114,chart,chart,5,1,single_syllable_like,onset_cluster|final_cluster|final_consonant|r_controlled|digraph|contrast_letter
115,chat,chat,4,1,single_syllable_like,onset_cluster|final_consonant|digraph|short_vowel_like
116,chew,chew,4,1,single_syllable_like,onset_cluster|final_consonant|vowel_team|digraph
117,chief,chief,5,1,single_syllable_like,onset_cluster|final_consonant|vowel_team|digraph|contrast_letter
118,child,child,5,1,single_syllable_like,onset_cluster|final_cluster|final_consonant|digraph|short_vowel_like|contrast_letter
119,children,children,8,2,two_syllable_like,onset_cluster|final_consonant|digraph|contrast_letter|longer_word
120,chill,chill,5,1,single_syllable_like,onset_cluster|final_cluster|final_consonant|digraph|short_vowel_like|contrast_letter
121,chip,chip,4,1,single_syllable_like,onset_cluster|final_consonant|digraph|short_vowel_like|contrast_letter
122,chips,chips,5,1,single_syllable_like,onset_cluster|final_cluster|final_consonant|digraph|short_vowel_like|contrast_letter
123,choice,choice,6,1,single_syllable_like,onset_cluster|vowel_team|digraph
124,chop,chop,4,1,single_syllable_like,onset_cluster|final_consonant|digraph|short_vowel_like|contrast_letter
125,chores,chores,6,2,two_syllable_like,onset_cluster|final_consonant|r_controlled|digraph|contrast_letter|longer_word
126,clam,clam,4,1,single_syllable_like,onset_cluster|final_consonant|short_vowel_like|contrast_letter
127,clap,clap,4,1,single_syllable_like,onset_cluster|final_consonant|short_vowel_like|contrast_letter
128,clapping,clapping,8,2,two_syllable_like,onset_cluster|final_cluster|final_consonant|digraph|contrast_letter|longer_word
129,claws,claws,5,1,single_syllable_like,onset_cluster|final_cluster|final_consonant|vowel_team|contrast_letter
130,clean,clean,5,1,single_syllable_like,onset_cluster|final_consonant|vowel_team|contrast_letter
131,cleaned,cleaned,7,2,two_syllable_like,onset_cluster|final_consonant|vowel_team|contrast_letter|longer_word
132,clock,clock,5,1,single_syllable_like,onset_cluster|final_cluster|final_consonant|digraph|short_vowel_like|contrast_letter
133,clouds,clouds,6,1,single_syllable_like,onset_cluster|final_cluster|final_consonant|vowel_team|contrast_letter
134,clown,clown,5,1,single_syllable_like,onset_cluster|final_cluster|final_consonant|vowel_team|contrast_letter
135,club,club,4,1,single_syllable_like,onset_cluster|final_consonant|short_vowel_like|contrast_letter
136,coast,coast,5,1,single_syllable_like,final_cluster|final_consonant|vowel_team
137,coat,coat,4,1,single_syllable_like,final_consonant|vowel_team
138,coin,coin,4,1,single_syllable_like,final_consonant|vowel_team|contrast_letter
139,cold,cold,4,1,single_syllable_like,final_cluster|final_consonant|short_vowel_like|contrast_letter
140,come,come,4,1,single_syllable_like,cvc_e|contrast_letter
141,cone,cone,4,1,single_syllable_like,cvc_e|contrast_letter
142,continue,continue,8,3,multisyllable_like,vowel_team|contrast_letter|longer_word
143,cook,cook,4,1,single_syllable_like,final_consonant|vowel_team
144,cookbook,cookbook,8,2,two_syllable_like,final_consonant|vowel_team|contrast_letter|longer_word
145,corn,corn,4,1,single_syllable_like,final_cluster|final_consonant|r_controlled|contrast_letter
146,cot,cot,3,1,single_syllable_like,final_consonant|short_vowel_like
147,couch,couch,5,1,single_syllable_like,final_cluster|final_consonant|vowel_team|digraph
148,could,could,5,1,single_syllable_like,final_cluster|final_consonant|vowel_team|contrast_letter
149,cow,cow,3,1,single_syllable_like,final_consonant|vowel_team
150,cowboy,cowboy,6,2,two_syllable_like,vowel_team|contrast_letter|longer_word
151,crab,crab,4,1,single_syllable_like,onset_cluster|final_consonant|short_vowel_like|contrast_letter
152,crack,crack,5,1,single_syllable_like,onset_cluster|final_cluster|final_consonant|digraph|short_vowel_like|contrast_letter
153,crash,crash,5,1,single_syllable_like,onset_cluster|final_cluster|final_consonant|digraph|short_vowel_like|contrast_letter
154,crawl,crawl,5,1,single_syllable_like,onset_cluster|final_cluster|final_consonant|vowel_team|contrast_letter
155,cream,cream,5,1,single_syllable_like,onset_cluster|final_consonant|vowel_team|contrast_letter
156,crib,crib,4,1,single_syllable_like,onset_cluster|final_consonant|short_vowel_like|contrast_letter
157,cried,cried,5,1,single_syllable_like,onset_cluster|final_consonant|vowel_team|contrast_letter
158,croak,croak,5,1,single_syllable_like,onset_cluster|final_consonant|vowel_team|contrast_letter
159,crown,crown,5,1,single_syllable_like,onset_cluster|final_cluster|final_consonant|vowel_team|contrast_letter
160,cry,cry,3,1,single_syllable_like,onset_cluster|contrast_letter
161,cub,cub,3,1,single_syllable_like,final_consonant|short_vowel_like|contrast_letter
162,cube,cube,4,1,single_syllable_like,cvc_e|contrast_letter
163,cue,cue,3,1,single_syllable_like,vowel_team
164,cup,cup,3,1,single_syllable_like,final_consonant|short_vowel_like|contrast_letter
165,cups,cups,4,1,single_syllable_like,final_cluster|final_consonant|short_vowel_like|contrast_letter
166,curb,curb,4,1,single_syllable_like,final_cluster|final_consonant|r_controlled|contrast_letter
167,curl,curl,4,1,single_syllable_like,final_cluster|final_consonant|r_controlled|contrast_letter
168,cut,cut,3,1,single_syllable_like,final_consonant|short_vowel_like
169,cute,cute,4,1,single_syllable_like,cvc_e
170,dare,dare,4,1,single_syllable_like,cvc_e|r_controlled|contrast_letter
171,dark,dark,4,1,single_syllable_like,final_cluster|final_consonant|r_controlled|contrast_letter
172,dart,dart,4,1,single_syllable_like,final_cluster|final_consonant|r_controlled|contrast_letter
173,dawn,dawn,4,1,single_syllable_like,final_cluster|final_consonant|vowel_team|contrast_letter
174,day,day,3,1,single_syllable_like,vowel_team|contrast_letter
175,deep,deep,4,1,single_syllable_like,final_consonant|vowel_team|contrast_letter
176,did,did,3,1,single_syllable_like,final_consonant|short_vowel_like|contrast_letter
177,die,die,3,1,single_syllable_like,vowel_team|contrast_letter
178,dig,dig,3,1,single_syllable_like,final_consonant|short_vowel_like|contrast_letter
179,digs,digs,4,1,single_syllable_like,final_cluster|final_consonant|short_vowel_like|contrast_letter
180,dinosaur,dinosaur,8,3,multisyllable_like,final_consonant|vowel_team|contrast_letter|longer_word
181,dip,dip,3,1,single_syllable_like,final_consonant|short_vowel_like|contrast_letter
182,dirt,dirt,4,1,single_syllable_like,final_cluster|final_consonant|r_controlled|contrast_letter
183,dish,dish,4,1,single_syllable_like,final_cluster|final_consonant|digraph|short_vowel_like|contrast_letter
184,dishes,dishes,6,2,two_syllable_like,final_consonant|digraph|contrast_letter|longer_word
185,do,do,2,1,single_syllable_like,short_vowel_like|contrast_letter
186,dog,dog,3,1,single_syllable_like,final_consonant|short_vowel_like|contrast_letter
187,doghouse,doghouse,8,2,two_syllable_like,vowel_team|contrast_letter|longer_word
188,dogs,dogs,4,1,single_syllable_like,final_cluster|final_consonant|short_vowel_like|contrast_letter
189,dot,dot,3,1,single_syllable_like,final_consonant|short_vowel_like|contrast_letter
190,down,down,4,1,single_syllable_like,final_cluster|final_consonant|vowel_team|contrast_letter
191,downtown,downtown,8,2,two_syllable_like,final_cluster|final_consonant|vowel_team|contrast_letter|longer_word
192,drain,drain,5,1,single_syllable_like,onset_cluster|final_consonant|vowel_team|contrast_letter
193,draw,draw,4,1,single_syllable_like,onset_cluster|final_consonant|vowel_team|contrast_letter
194,drawing,drawing,7,2,two_syllable_like,onset_cluster|final_cluster|final_consonant|vowel_team|digraph|contrast_letter|longer_word
195,dream,dream,5,1,single_syllable_like,onset_cluster|final_consonant|vowel_team|contrast_letter
196,dried,dried,5,1,single_syllable_like,onset_cluster|final_consonant|vowel_team|contrast_letter
197,dries,dries,5,1,single_syllable_like,onset_cluster|final_consonant|vowel_team|contrast_letter
198,drink,drink,5,1,single_syllable_like,onset_cluster|final_cluster|final_consonant|digraph|short_vowel_like|contrast_letter
199,drinking,drinking,8,2,two_syllable_like,onset_cluster|final_cluster|final_consonant|digraph|contrast_letter|longer_word
200,drip,drip,4,1,single_syllable_like,onset_cluster|final_consonant|short_vowel_like|contrast_letter
201,dripping,dripping,8,2,two_syllable_like,onset_cluster|final_cluster|final_consonant|digraph|contrast_letter|longer_word
202,drive,drive,5,1,single_syllable_like,onset_cluster|cvc_e|contrast_letter
203,drop,drop,4,1,single_syllable_like,onset_cluster|final_consonant|short_vowel_like|contrast_letter
204,dropout,dropout,7,2,two_syllable_like,onset_cluster|final_consonant|vowel_team|contrast_letter|longer_word
205,dropping,dropping,8,2,two_syllable_like,onset_cluster|final_cluster|final_consonant|digraph|contrast_letter|longer_word
206,dry,dry,3,1,single_syllable_like,onset_cluster|contrast_letter
207,dug,dug,3,1,single_syllable_like,final_consonant|short_vowel_like|contrast_letter
208,eat,eat,3,1,single_syllable_like,final_consonant|vowel_team
209,egg,egg,3,1,single_syllable_like,final_cluster|final_consonant|short_vowel_like
210,eggs,eggs,4,1,single_syllable_like,final_cluster|final_consonant|short_vowel_like
211,enjoy,enjoy,5,2,two_syllable_like,vowel_team|contrast_letter|longer_word
212,eve,eve,3,1,single_syllable_like,short_vowel_like|contrast_letter
213,fail,fail,4,1,single_syllable_like,final_consonant|vowel_team|contrast_letter
214,faint,faint,5,1,single_syllable_like,final_cluster|final_consonant|vowel_team|contrast_letter
215,fair,fair,4,1,single_syllable_like,final_consonant|vowel_team|contrast_letter
216,fan,fan,3,1,single_syllable_like,final_consonant|short_vowel_like|contrast_letter
217,fans,fans,4,1,single_syllable_like,final_cluster|final_consonant|short_vowel_like|contrast_letter
218,far,far,3,1,single_syllable_like,final_consonant|r_controlled|contrast_letter
219,farm,farm,4,1,single_syllable_like,final_cluster|final_consonant|r_controlled|contrast_letter
220,farmer,farmer,6,2,two_syllable_like,final_consonant|r_controlled|contrast_letter|longer_word
221,fat,fat,3,1,single_syllable_like,final_consonant|short_vowel_like|contrast_letter
222,fault,fault,5,1,single_syllable_like,final_cluster|final_consonant|vowel_team|contrast_letter
223,fed,fed,3,1,single_syllable_like,final_consonant|short_vowel_like|contrast_letter
224,feed,feed,4,1,single_syllable_like,final_consonant|vowel_team|contrast_letter
225,feel,feel,4,1,single_syllable_like,final_consonant|vowel_team|contrast_letter
226,feet,feet,4,1,single_syllable_like,final_consonant|vowel_team|contrast_letter
227,fell,fell,4,1,single_syllable_like,final_cluster|final_consonant|short_vowel_like|contrast_letter
228,felt,felt,4,1,single_syllable_like,final_cluster|final_consonant|short_vowel_like|contrast_letter
229,fern,fern,4,1,single_syllable_like,final_cluster|final_consonant|r_controlled|contrast_letter
230,few,few,3,1,single_syllable_like,final_consonant|vowel_team|contrast_letter
231,field,field,5,1,single_syllable_like,final_cluster|final_consonant|vowel_team|contrast_letter
232,fight,fight,5,1,single_syllable_like,final_cluster|final_consonant|short_vowel_like|contrast_letter
233,fighter,fighter,7,2,two_syllable_like,final_consonant|r_controlled|contrast_letter|longer_word
234,fill,fill,4,1,single_syllable_like,final_cluster|final_consonant|short_vowel_like|contrast_letter
235,filling,filling,7,2,two_syllable_like,final_cluster|final_consonant|digraph|contrast_letter|longer_word
236,find,find,4,1,single_syllable_like,final_cluster|final_consonant|short_vowel_like|contrast_letter
237,first,first,5,1,single_syllable_like,final_cluster|final_consonant|r_controlled|contrast_letter
238,firsthand,firsthand,9,2,two_syllable_like,final_cluster|final_consonant|r_controlled|digraph|contrast_letter|longer_word
239,fish,fish,4,1,single_syllable_like,final_cluster|final_consonant|digraph|short_vowel_like|contrast_letter
240,fishing,fishing,7,2,two_syllable_like,final_cluster|final_consonant|digraph|contrast_letter|longer_word
241,fist,fist,4,1,single_syllable_like,final_cluster|final_consonant|short_vowel_like|contrast_letter
242,fit,fit,3,1,single_syllable_like,final_consonant|short_vowel_like|contrast_letter
243,fix,fix,3,1,single_syllable_like,final_consonant|short_vowel_like|contrast_letter
244,fixing,fixing,6,2,two_syllable_like,final_cluster|final_consonant|digraph|contrast_letter|longer_word
245,flag,flag,4,1,single_syllable_like,onset_cluster|final_consonant|short_vowel_like|contrast_letter
246,flap,flap,4,1,single_syllable_like,onset_cluster|final_consonant|short_vowel_like|contrast_letter
247,flash,flash,5,1,single_syllable_like,onset_cluster|final_cluster|final_consonant|digraph|short_vowel_like|contrast_letter
248,flat,flat,4,1,single_syllable_like,onset_cluster|final_consonant|short_vowel_like|contrast_letter
249,flew,flew,4,1,single_syllable_like,onset_cluster|final_consonant|vowel_team|contrast_letter
250,flies,flies,5,1,single_syllable_like,onset_cluster|final_consonant|vowel_team|contrast_letter
251,flight,flight,6,1,single_syllable_like,onset_cluster|final_cluster|final_consonant|short_vowel_like|contrast_letter
252,flip,flip,4,1,single_syllable_like,onset_cluster|final_consonant|short_vowel_like|contrast_letter
253,flipping,flipping,8,2,two_syllable_like,onset_cluster|final_cluster|final_consonant|digraph|contrast_letter|longer_word
254,float,float,5,1,single_syllable_like,onset_cluster|final_consonant|vowel_team|contrast_letter
255,floated,floated,7,2,two_syllable_like,onset_cluster|final_consonant|vowel_team|contrast_letter|longer_word
256,floating,floating,8,2,two_syllable_like,onset_cluster|final_cluster|final_consonant|vowel_team|digraph|contrast_letter|longer_word
257,flop,flop,4,1,single_syllable_like,onset_cluster|final_consonant|short_vowel_like|contrast_letter
258,flow,flow,4,1,single_syllable_like,onset_cluster|final_consonant|vowel_team|contrast_letter
259,fluff,fluff,5,1,single_syllable_like,onset_cluster|final_cluster|final_consonant|short_vowel_like|contrast_letter
260,fly,fly,3,1,single_syllable_like,onset_cluster|contrast_letter
261,foam,foam,4,1,single_syllable_like,final_consonant|vowel_team|contrast_letter
262,fog,fog,3,1,single_syllable_like,final_consonant|short_vowel_like|contrast_letter
263,foil,foil,4,1,single_syllable_like,final_consonant|vowel_team|contrast_letter
264,fold,fold,4,1,single_syllable_like,final_cluster|final_consonant|short_vowel_like|contrast_letter
265,food,food,4,1,single_syllable_like,final_consonant|vowel_team|contrast_letter
266,for,for,3,1,single_syllable_like,final_consonant|r_controlled|contrast_letter
267,fork,fork,4,1,single_syllable_like,final_cluster|final_consonant|r_controlled|contrast_letter
268,forklift,forklift,8,2,two_syllable_like,final_cluster|final_consonant|r_controlled|contrast_letter|longer_word
269,found,found,5,1,single_syllable_like,final_cluster|final_consonant|vowel_team|contrast_letter
270,fox,fox,3,1,single_syllable_like,final_consonant|short_vowel_like|contrast_letter
271,fran,fran,4,1,single_syllable_like,onset_cluster|final_consonant|short_vowel_like|contrast_letter
272,fried,fried,5,1,single_syllable_like,onset_cluster|final_consonant|vowel_team|contrast_letter
273,friend,friend,6,1,single_syllable_like,onset_cluster|final_cluster|final_consonant|vowel_team|contrast_letter
274,frog,frog,4,1,single_syllable_like,onset_cluster|final_consonant|short_vowel_like|contrast_letter
275,from,from,4,1,single_syllable_like,onset_cluster|final_consonant|short_vowel_like|contrast_letter
